CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,CREDIT_UTILIZATION,PAYMENT_RATIO,PURCHASE_TO_LIMIT,CASH_ADVANCE_INTENSITY,AVG_PURCHASE_VALUE,INSTALLMENT_PURCHASE_SHARE,SEGMENT
C10001,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0,2,1000.0,201.802084,139.509787,0.0,12,0.040900749,4.933945928471872,0.09540000000000001,0.0,47.7,1.0,Installment-Focused
C10002,3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4,0,7000.0,4103.032597,1072.340217,0.222222,12,0.4574953451428571,1.2812097873348043,0.0,0.9204207832857143,0.0,0.0,Cash-Advance Heavy
C10003,2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0,12,7500.0,622.066742,627.284787,0.0,12,0.33268651493333334,0.2493104726029769,0.10308933333333332,0.0,64.43083333333333,0.0,Balanced Usage
C10004,1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1,1,7500.0,0.0,312.343947,0.0,12,0.22222273893333333,0.0,0.19986666666666666,0.027438402266666665,1499.0,0.0,Low-Engagement
C10005,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1200.0,678.334763,244.791237,0.0,12,0.6814286125,0.8295497999310479,0.013333333333333334,0.0,16.0,0.0,Low-Engagement
C10006,1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0,8,1800.0,1400.05777,2407.246035,0.0,12,1.0054604172222221,0.7735857711545439,0.7407111111111111,0.0,166.66,1.0,High-Utilization
C10007,627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0,64,13500.0,6354.314328,198.065894,1.0,12,0.046463763407407405,10.13025884483527,0.5252600000000001,0.0,110.79703125,0.09707784927676029,High-Value Active
C10008,1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,2300.0,679.065082,532.03399,0.0,12,0.7928924969565218,0.3723653445572669,0.18965217391304348,0.0,36.35,1.0,High-Utilization
C10009,1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0,5,7000.0,688.278568,311.963409,0.0,12,0.14498949614285714,0.6781560894411708,0.12307,0.0,172.298,0.23215591591312726,Balanced Usage
C10010,152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,3,11000.0,1164.770591,100.302262,0.0,12,0.013838725,7.651588968308463,0.1165090909090909,0.0,427.2,0.0,Low-Engagement
C10011,1293.124939,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0,12,1200.0,1083.301007,2172.697765,0.0,12,1.0776041158333334,0.8377388559513351,0.7667666666666667,0.0,76.67666666666666,1.0,High-Utilization
C10012,630.794744,0.818182,1492.18,1492.18,0.0,0.0,0.25,0.25,0.0,0.0,0,6,2000.0,705.618627,155.549069,0.0,12,0.315397372,1.1186184312911776,0.74609,0.0,248.6966666666667,0.0,Low-Engagement
C10013,1516.92862,1.0,3217.99,2500.23,717.76,0.0,1.0,0.25,0.916667,0.0,0,26,3000.0,608.263689,490.207013,0.25,12,0.5056428733333334,0.4009837252592677,1.0726633333333333,0.0,123.76884615384614,0.22304606291504947,High-Value Active
C10014,921.693369,1.0,2137.93,419.96,1717.97,0.0,0.75,0.166667,0.75,0.0,0,26,7500.0,1655.891435,251.137986,0.083333,12,0.12289244919999999,1.7965751850819707,0.28505733333333333,0.0,82.22807692307691,0.8035670017259686,Installment-Focused
C10015,2772.772734,1.0,0.0,0.0,0.0,346.81139,0.0,0.0,0.0,0.083333,1,0,3000.0,805.647974,989.962866,0.0,12,0.9242575780000001,0.290556800462248,0.0,0.11560379666666667,0.0,0.0,High-Utilization
C10016,6886.213231,1.0,1611.7,0.0,1611.7,2301.491267,0.5,0.0,0.5,0.166667,4,11,8000.0,1993.439277,2109.90649,0.0,12,0.860776653875,0.2894826532565152,0.20146250000000002,0.287686408375,146.51818181818183,1.0,High-Utilization
C10017,2072.074354,0.875,0.0,0.0,0.0,2784.274703,0.0,0.0,0.0,0.25,3,0,3000.0,391.974562,376.579631,0.0,8,0.6906914513333333,0.18917012376670728,0.0,0.9280915676666667,0.0,0.0,Cash-Advance Heavy
C10018,41.089489,0.454545,519.0,0.0,519.0,0.0,0.416667,0.0,0.333333,0.0,0,8,2500.0,254.590662,73.203221,0.25,12,0.0164357956,6.196004579175955,0.2076,0.0,64.875,1.0,Installment-Focused
C10019,1989.072228,1.0,504.35,166.0,338.35,0.0,0.666667,0.083333,0.583333,0.0,0,9,13000.0,1720.837373,744.613395,0.0,12,0.153005556,0.8651457442198022,0.03879615384615385,0.0,56.03888888888889,0.6708634876573808,Installment-Focused
C10020,3577.970933,1.0,398.64,0.0,398.64,0.0,1.0,0.0,1.0,0.0,0,12,4000.0,1053.980464,12465.54938,0.0,12,0.89449273325,0.2945749095608989,0.09966,0.0,33.22,1.0,High-Utilization
C10021,2016.684686,1.0,176.68,0.0,176.68,0.0,0.666667,0.0,0.666667,0.0,0,8,2000.0,223.0686,13557.29726,0.0,12,1.008342343,0.11061154058865105,0.08834,0.0,22.085,1.0,High-Utilization
C10022,6369.531318,1.0,6359.95,5910.04,449.91,229.028245,1.0,0.916667,1.0,0.333333,6,92,11250.0,2077.959051,1659.775075,0.0,12,0.5661805616000001,0.3262342152440296,0.5653288888888889,0.02035806622222222,69.12989130434782,0.07074112217863349,High-Value Active
C10023,132.34224,0.636364,815.9,0.0,815.9,0.0,1.0,0.0,1.0,0.0,0,17,1800.0,2359.629958,86.329554,0.0,12,0.07352346666666666,17.82975683349473,0.4532777777777778,0.0,47.99411764705882,1.0,Installment-Focused
C10024,3800.151377,0.818182,4248.35,3454.56,793.79,7974.415626,1.0,0.083333,0.916667,0.333333,13,13,9000.0,9479.043842,1425.426525,0.0,12,0.4222390418888889,2.49438585509274,0.47203888888888895,0.8860461806666666,326.79615384615386,0.1868466581143267,High-Value Active
C10025,5368.571219,1.0,0.0,0.0,0.0,798.949863,0.0,0.0,0.0,0.363636,4,0,6000.0,1422.726707,1657.002877,0.0,11,0.8947618698333334,0.2650103070188962,0.0,0.13315831050000002,0.0,0.0,High-Utilization
C10026,169.781679,1.0,399.6,0.0,399.6,0.0,1.0,0.0,1.0,0.0,0,12,3000.0,215.306142,163.005536,0.0,12,0.056593893,1.2681353092285064,0.1332,0.0,33.300000000000004,1.0,Installment-Focused
C10027,1615.96724,1.0,102.0,102.0,0.0,244.840485,0.166667,0.166667,0.0,0.25,5,2,1700.0,890.178845,971.183209,0.0,12,0.9505689647058824,0.5508644129444109,0.06,0.14402381470588235,51.0,0.0,High-Utilization
C10028,125.694817,1.0,233.28,0.0,233.28,0.0,1.0,0.0,1.0,0.0,0,12,1000.0,207.773715,164.748819,0.0,12,0.12569481700000001,1.6530014519214424,0.23328,0.0,19.44,1.0,Installment-Focused
C10029,7152.864372,1.0,387.05,204.55,182.5,2236.145259,0.666667,0.166667,0.416667,0.833333,16,8,10500.0,1601.448347,1648.851345,0.0,12,0.6812251782857143,0.22388909725017223,0.03686190476190476,0.21296621514285713,48.38125,0.4715153080997287,Balanced Usage
C10030,22.06349,1.0,100.0,0.0,100.0,0.0,0.416667,0.0,0.416667,0.0,0,5,6900.0,160.767773,159.684442,0.0,12,0.0031976072463768116,7.286597587235745,0.014492753623188406,0.0,20.0,1.0,Installment-Focused
C10031,12136.21996,1.0,3038.01,1013.2,2024.81,3183.583301,1.0,0.166667,1.0,0.5,10,64,13000.0,4230.323491,3292.01503,0.0,12,0.9335553815384615,0.3485701070797006,0.23369307692307695,0.24489102315384617,47.46890625,0.6664922103613878,High-Value Active
C10032,1162.273324,1.0,1347.71,400.0,947.71,175.815755,1.0,0.083333,1.0,0.166667,2,45,6000.0,645.998299,256.848991,0.0,12,0.19371222066666666,0.5558058381455204,0.22461833333333334,0.02930262583333333,29.94911111111111,0.7032002433758004,High-Value Active
C10033,6732.823064,1.0,324.95,324.95,0.0,1189.533753,0.083333,0.083333,0.0,0.166667,3,3,10500.0,1720.118876,2506.745366,0.0,12,0.6412212441904762,0.2554825605320556,0.030947619047619047,0.11328892885714285,108.31666666666666,0.0,Low-Engagement
C10034,125.660453,1.0,636.79,636.79,0.0,0.0,0.916667,0.916667,0.0,0.0,0,11,1200.0,423.449696,196.301885,0.3,12,0.10471704416666668,3.3697928496246945,0.5306583333333333,0.0,57.88999999999999,0.0,Balanced Usage
C10035,3517.101616,0.727273,547.28,0.0,547.28,0.0,1.0,0.0,1.0,0.0,0,14,11000.0,8735.607835,17862.55831,0.0,12,0.31973651054545454,2.483751903914283,0.04975272727272727,0.0,39.09142857142857,1.0,Installment-Focused
C10036,1656.350781,1.0,0.0,0.0,0.0,99.264367,0.0,0.0,0.0,0.083333,1,0,1800.0,351.500199,634.569311,0.0,12,0.9201948783333334,0.21221362227860113,0.0,0.055146870555555554,0.0,0.0,High-Utilization
C10037,7427.076941,1.0,0.0,0.0,0.0,8873.375046,0.0,0.0,0.0,0.727273,11,0,9000.0,1636.361601,1986.843608,0.0,11,0.8252307712222222,0.22032377124932223,0.0,0.9859305606666666,0.0,0.0,High-Utilization
